Cod_IBGE;Grande região;Município;Município;Mun_Total de casos;Mun_Total de óbitos;Estado;País
3505708;RMSP (exceto capital);Barueri;Barueri, São Paulo, Brasil;48521;1273;São Paulo;Brasil
3505807;Interior;Bastos;Bastos, São Paulo, Brasil;4148;101;São Paulo;Brasil
3505906;Interior;Batatais;Batatais, São Paulo, Brasil;7121;212;São Paulo;Brasil
3506003;Interior;Bauru;Bauru, São Paulo, Brasil;90895;1492;São Paulo;Brasil
3506102;Interior;Bebedouro;Bebedouro, São Paulo, Brasil;6200;366;São Paulo;Brasil
3506201;Interior;Bento de Abreu;Bento de Abreu, São Paulo, Brasil;681;6;São Paulo;Brasil
3506300;Interior;Bernardino de Campos;Bernardino de Campos, São Paulo, Brasil;2067;42;São Paulo;Brasil
3506359;Interior;Bertioga;Bertioga, São Paulo, Brasil;11712;202;São Paulo;Brasil
3506409;Interior;Bilac;Bilac, São Paulo, Brasil;970;26;São Paulo;Brasil
3506508;Interior;Birigui;Birigui, São Paulo, Brasil;31973;656;São Paulo;Brasil
3506607;RMSP (exceto capital);Biritiba Mirim;Biritiba Mirim, São Paulo, Brasil;1596;121;São Paulo;Brasil
3506706;Interior;Boa Esperança do Sul;Boa Esperança do Sul, São Paulo, Brasil;2707;29;São Paulo;Brasil
3506805;Interior;Bocaina;Bocaina, São Paulo, Brasil;2528;40;São Paulo;Brasil
3506904;Interior;Bofete;Bofete, São Paulo, Brasil;2714;30;São Paulo;Brasil
3507001;Interior;Boituva;Boituva, São Paulo, Brasil;7107;218;São Paulo;Brasil
3507100;Interior;Bom Jesus dos Perdões;Bom Jesus dos Perdões, São Paulo, Brasil;2562;59;São Paulo;Brasil
3507159;Interior;Bom Sucesso de Itararé;Bom Sucesso de Itararé, São Paulo, Brasil;701;7;São Paulo;Brasil
3507209;Interior;Borá;Borá, São Paulo, Brasil;223;2;São Paulo;Brasil
3507308;Interior;Boracéia;Boracéia, São Paulo, Brasil;1065;27;São Paulo;Brasil
3507407;Interior;Borborema;Borborema, São Paulo, Brasil;4819;60;São Paulo;Brasil
3507456;Interior;Borebi;Borebi, São Paulo, Brasil;310;4;São Paulo;Brasil
3507506;Interior;Botucatu;Botucatu, São Paulo, Brasil;56462;402;São Paulo;Brasil
3507605;Interior;Bragança Paulista;Bragança Paulista, São Paulo, Brasil;48889;654;São Paulo;Brasil
3507704;Interior;Braúna;Braúna, São Paulo, Brasil;637;27;São Paulo;Brasil
3507753;Interior;Brejo Alegre;Brejo Alegre, São Paulo, Brasil;925;14;São Paulo;Brasil
3507803;Interior;Brodowski;Brodowski, São Paulo, Brasil;4920;88;São Paulo;Brasil
3507902;Interior;Brotas;Brotas, São Paulo, Brasil;8114;77;São Paulo;Brasil
3508009;Interior;Buri;Buri, São Paulo, Brasil;4628;108;São Paulo;Brasil
3508108;Interior;Buritama;Buritama, São Paulo, Brasil;6059;92;São Paulo;Brasil
3508207;Interior;Buritizal;Buritizal, São Paulo, Brasil;360;10;São Paulo;Brasil
3508306;Interior;Cabrália Paulista;Cabrália Paulista, São Paulo, Brasil;1226;9;São Paulo;Brasil
3508405;Interior;Cabreúva;Cabreúva, São Paulo, Brasil;8479;158;São Paulo;Brasil
3508504;Interior;Caçapava;Caçapava, São Paulo, Brasil;16757;333;São Paulo;Brasil
3508603;Interior;Cachoeira Paulista;Cachoeira Paulista, São Paulo, Brasil;5848;73;São Paulo;Brasil
3508702;Interior;Caconde;Caconde, São Paulo, Brasil;3741;46;São Paulo;Brasil
3508801;Interior;Cafelândia;Cafelândia, São Paulo, Brasil;905;61;São Paulo;Brasil
3508900;Interior;Caiabu;Caiabu, São Paulo, Brasil;338;9;São Paulo;Brasil
3509007;RMSP (exceto capital);Caieiras;Caieiras, São Paulo, Brasil;14332;366;São Paulo;Brasil
3509106;Interior;Caiuá;Caiuá, São Paulo, Brasil;527;12;São Paulo;Brasil
3509205;RMSP (exceto capital);Cajamar;Cajamar, São Paulo, Brasil;5690;272;São Paulo;Brasil
3509254;Interior;Cajati;Cajati, São Paulo, Brasil;7011;116;São Paulo;Brasil
3509304;Interior;Cajobi;Cajobi, São Paulo, Brasil;2351;38;São Paulo;Brasil
3509403;Interior;Cajuru;Cajuru, São Paulo, Brasil;2191;88;São Paulo;Brasil
3509452;Interior;Campina do Monte Alegre;Campina do Monte Alegre, São Paulo, Brasil;641;29;São Paulo;Brasil
3509502;Interior;Campinas;Campinas, São Paulo, Brasil;224392;5480;São Paulo;Brasil
3509601;Interior;Campo Limpo Paulista;Campo Limpo Paulista, São Paulo, Brasil;11051;317;São Paulo;Brasil
3509700;Interior;Campos do Jordão;Campos do Jordão, São Paulo, Brasil;13206;164;São Paulo;Brasil
3509809;Interior;Campos Novos Paulista;Campos Novos Paulista, São Paulo, Brasil;325;14;São Paulo;Brasil
3509908;Interior;Cananéia;Cananéia, São Paulo, Brasil;2556;37;São Paulo;Brasil
3509957;Interior;Canas;Canas, São Paulo, Brasil;244;9;São Paulo;Brasil
3510005;Interior;Cândido Mota;Cândido Mota, São Paulo, Brasil;7993;189;São Paulo;Brasil
3510104;Interior;Cândido Rodrigues;Cândido Rodrigues, São Paulo, Brasil;153;8;São Paulo;Brasil
3510153;Interior;Canitar;Canitar, São Paulo, Brasil;1607;30;São Paulo;Brasil
3510203;Interior;Capão Bonito;Capão Bonito, São Paulo, Brasil;10513;183;São Paulo;Brasil
