Cod_IBGE;Grande região;Município;Município;Mun_Total de casos;Mun_Total de óbitos;Estado;País
3523800;Interior;Itobi;Itobi, São Paulo, Brasil;1367;24;São Paulo;Brasil
3523909;Interior;Itu;Itu, São Paulo, Brasil;38615;600;São Paulo;Brasil
3524006;Interior;Itupeva;Itupeva, São Paulo, Brasil;9793;171;São Paulo;Brasil
3524105;Interior;Ituverava;Ituverava, São Paulo, Brasil;4009;162;São Paulo;Brasil
3524204;Interior;Jaborandi;Jaborandi, São Paulo, Brasil;609;25;São Paulo;Brasil
3524303;Interior;Jaboticabal;Jaboticabal, São Paulo, Brasil;9329;291;São Paulo;Brasil
3524402;Interior;Jacareí;Jacareí, São Paulo, Brasil;30743;921;São Paulo;Brasil
3524501;Interior;Jaci;Jaci, São Paulo, Brasil;2816;34;São Paulo;Brasil
3524600;Interior;Jacupiranga;Jacupiranga, São Paulo, Brasil;3375;66;São Paulo;Brasil
3524709;Interior;Jaguariúna;Jaguariúna, São Paulo, Brasil;12350;201;São Paulo;Brasil
3524808;Interior;Jales;Jales, São Paulo, Brasil;16499;316;São Paulo;Brasil
3524907;Interior;Jambeiro;Jambeiro, São Paulo, Brasil;517;18;São Paulo;Brasil
3525003;RMSP (exceto capital);Jandira;Jandira, São Paulo, Brasil;9842;368;São Paulo;Brasil
3525102;Interior;Jardinópolis;Jardinópolis, São Paulo, Brasil;5202;170;São Paulo;Brasil
3525201;Interior;Jarinu;Jarinu, São Paulo, Brasil;3509;97;São Paulo;Brasil
3525300;Interior;Jaú;Jaú, São Paulo, Brasil;24226;620;São Paulo;Brasil
3525409;Interior;Jeriquara;Jeriquara, São Paulo, Brasil;647;3;São Paulo;Brasil
3525508;Interior;Joanópolis;Joanópolis, São Paulo, Brasil;1513;20;São Paulo;Brasil
3525607;Interior;João Ramalho;João Ramalho, São Paulo, Brasil;1223;15;São Paulo;Brasil
3525706;Interior;José Bonifácio;José Bonifácio, São Paulo, Brasil;9713;176;São Paulo;Brasil
3525805;Interior;Júlio Mesquita;Júlio Mesquita, São Paulo, Brasil;364;17;São Paulo;Brasil
3525854;Interior;Jumirim;Jumirim, São Paulo, Brasil;635;8;São Paulo;Brasil
3525904;Interior;Jundiaí;Jundiaí, São Paulo, Brasil;74329;1841;São Paulo;Brasil
3526001;Interior;Junqueirópolis;Junqueirópolis, São Paulo, Brasil;5272;105;São Paulo;Brasil
3526100;Interior;Juquiá;Juquiá, São Paulo, Brasil;3329;70;São Paulo;Brasil
3526209;RMSP (exceto capital);Juquitiba;Juquitiba, São Paulo, Brasil;1833;87;São Paulo;Brasil
3526308;Interior;Lagoinha;Lagoinha, São Paulo, Brasil;246;16;São Paulo;Brasil
3526407;Interior;Laranjal Paulista;Laranjal Paulista, São Paulo, Brasil;6380;144;São Paulo;Brasil
3526506;Interior;Lavínia;Lavínia, São Paulo, Brasil;1605;21;São Paulo;Brasil
3526605;Interior;Lavrinhas;Lavrinhas, São Paulo, Brasil;383;16;São Paulo;Brasil
3526704;Interior;Leme;Leme, São Paulo, Brasil;22093;479;São Paulo;Brasil
3526803;Interior;Lençóis Paulista;Lençóis Paulista, São Paulo, Brasil;25975;212;São Paulo;Brasil
3526902;Interior;Limeira;Limeira, São Paulo, Brasil;43897;1311;São Paulo;Brasil
3527009;Interior;Lindóia;Lindóia, São Paulo, Brasil;2878;23;São Paulo;Brasil
3527108;Interior;Lins;Lins, São Paulo, Brasil;14504;344;São Paulo;Brasil
3527207;Interior;Lorena;Lorena, São Paulo, Brasil;8052;284;São Paulo;Brasil
3527256;Interior;Lourdes;Lourdes, São Paulo, Brasil;461;6;São Paulo;Brasil
3527306;Interior;Louveira;Louveira, São Paulo, Brasil;12298;132;São Paulo;Brasil
3527405;Interior;Lucélia;Lucélia, São Paulo, Brasil;4616;82;São Paulo;Brasil
3527504;Interior;Lucianópolis;Lucianópolis, São Paulo, Brasil;505;6;São Paulo;Brasil
3527603;Interior;Luís Antônio;Luís Antônio, São Paulo, Brasil;3697;46;São Paulo;Brasil
3527702;Interior;Luiziânia;Luiziânia, São Paulo, Brasil;493;14;São Paulo;Brasil
3527801;Interior;Lupércio;Lupércio, São Paulo, Brasil;278;8;São Paulo;Brasil
3527900;Interior;Lutécia;Lutécia, São Paulo, Brasil;953;8;São Paulo;Brasil
3528007;Interior;Macatuba;Macatuba, São Paulo, Brasil;5384;63;São Paulo;Brasil
3528106;Interior;Macaubal;Macaubal, São Paulo, Brasil;1904;25;São Paulo;Brasil
3528205;Interior;Macedônia;Macedônia, São Paulo, Brasil;1165;32;São Paulo;Brasil
3528304;Interior;Magda;Magda, São Paulo, Brasil;860;12;São Paulo;Brasil
3528403;Interior;Mairinque;Mairinque, São Paulo, Brasil;5301;92;São Paulo;Brasil
3528502;RMSP (exceto capital);Mairiporã;Mairiporã, São Paulo, Brasil;7612;290;São Paulo;Brasil
3528601;Interior;Manduri;Manduri, São Paulo, Brasil;998;32;São Paulo;Brasil
3528700;Interior;Marabá Paulista;Marabá Paulista, São Paulo, Brasil;915;6;São Paulo;Brasil
3528809;Interior;Maracaí;Maracaí, São Paulo, Brasil;3546;57;São Paulo;Brasil
3528858;Interior;Marapoama;Marapoama, São Paulo, Brasil;1222;15;São Paulo;Brasil
3528908;Interior;Mariápolis;Mariápolis, São Paulo, Brasil;1260;13;São Paulo;Brasil
3529005;Interior;Marília;Marília, São Paulo, Brasil;43276;1180;São Paulo;Brasil
3529104;Interior;Marinópolis;Marinópolis, São Paulo, Brasil;772;7;São Paulo;Brasil
3529203;Interior;Martinópolis;Martinópolis, São Paulo, Brasil;2623;103;São Paulo;Brasil
3529302;Interior;Matão;Matão, São Paulo, Brasil;7595;239;São Paulo;Brasil
3529401;RMSP (exceto capital);Mauá;Mauá, São Paulo, Brasil;38187;1701;São Paulo;Brasil
3529500;Interior;Mendonça;Mendonça, São Paulo, Brasil;2212;34;São Paulo;Brasil
3529609;Interior;Meridiano;Meridiano, São Paulo, Brasil;650;40;São Paulo;Brasil
3529658;Interior;Mesópolis;Mesópolis, São Paulo, Brasil;722;6;São Paulo;Brasil
3529708;Interior;Miguelópolis;Miguelópolis, São Paulo, Brasil;1539;107;São Paulo;Brasil
3529807;Interior;Mineiros do Tietê;Mineiros do Tietê, São Paulo, Brasil;2476;35;São Paulo;Brasil
3529906;Interior;Miracatu;Miracatu, São Paulo, Brasil;3668;86;São Paulo;Brasil
3530003;Interior;Mira Estrela;Mira Estrela, São Paulo, Brasil;611;16;São Paulo;Brasil
3530102;Interior;Mirandópolis;Mirandópolis, São Paulo, Brasil;2301;120;São Paulo;Brasil
3530201;Interior;Mirante do Paranapanema;Mirante do Paranapanema, São Paulo, Brasil;2916;53;São Paulo;Brasil
3530300;Interior;Mirassol;Mirassol, São Paulo, Brasil;10581;329;São Paulo;Brasil
3530409;Interior;Mirassolândia;Mirassolândia, São Paulo, Brasil;784;21;São Paulo;Brasil
3530508;Interior;Mococa;Mococa, São Paulo, Brasil;15064;298;São Paulo;Brasil
3530607;RMSP (exceto capital);Mogi das Cruzes;Mogi das Cruzes, São Paulo, Brasil;54606;1914;São Paulo;Brasil
3530706;Interior;Mogi Guaçu;Mogi Guaçu, São Paulo, Brasil;39763;721;São Paulo;Brasil
3530805;Interior;Mogi Mirim;Mogi Mirim, São Paulo, Brasil;26328;433;São Paulo;Brasil
3530904;Interior;Mombuca;Mombuca, São Paulo, Brasil;471;11;São Paulo;Brasil
3531001;Interior;Monções;Monções, São Paulo, Brasil;575;8;São Paulo;Brasil
3531100;Interior;Mongaguá;Mongaguá, São Paulo, Brasil;3073;114;São Paulo;Brasil
3531209;Interior;Monte Alegre do Sul;Monte Alegre do Sul, São Paulo, Brasil;1783;24;São Paulo;Brasil
3531308;Interior;Monte Alto;Monte Alto, São Paulo, Brasil;11084;226;São Paulo;Brasil
3531407;Interior;Monte Aprazível;Monte Aprazível, São Paulo, Brasil;4970;124;São Paulo;Brasil
3531506;Interior;Monte Azul Paulista;Monte Azul Paulista, São Paulo, Brasil;2395;31;São Paulo;Brasil
3531605;Interior;Monte Castelo;Monte Castelo, São Paulo, Brasil;1626;24;São Paulo;Brasil
3531704;Interior;Monteiro Lobato;Monteiro Lobato, São Paulo, Brasil;327;13;São Paulo;Brasil
3531803;Interior;Monte Mor;Monte Mor, São Paulo, Brasil;8467;177;São Paulo;Brasil
3531902;Interior;Morro Agudo;Morro Agudo, São Paulo, Brasil;6131;115;São Paulo;Brasil
3532009;Interior;Morungaba;Morungaba, São Paulo, Brasil;1091;41;São Paulo;Brasil
3532058;Interior;Motuca;Motuca, São Paulo, Brasil;378;11;São Paulo;Brasil
3532108;Interior;Murutinga do Sul;Murutinga do Sul, São Paulo, Brasil;1179;22;São Paulo;Brasil
3532157;Interior;Nantes;Nantes, São Paulo, Brasil;263;9;São Paulo;Brasil
3532207;Interior;Narandiba;Narandiba, São Paulo, Brasil;1910;25;São Paulo;Brasil
3532306;Interior;Natividade da Serra;Natividade da Serra, São Paulo, Brasil;254;15;São Paulo;Brasil
3532405;Interior;Nazaré Paulista;Nazaré Paulista, São Paulo, Brasil;3055;71;São Paulo;Brasil
3532504;Interior;Neves Paulista;Neves Paulista, São Paulo, Brasil;2697;66;São Paulo;Brasil
3532603;Interior;Nhandeara;Nhandeara, São Paulo, Brasil;3293;59;São Paulo;Brasil
3532702;Interior;Nipoã;Nipoã, São Paulo, Brasil;534;19;São Paulo;Brasil
3532801;Interior;Nova Aliança;Nova Aliança, São Paulo, Brasil;1574;35;São Paulo;Brasil
3532827;Interior;Nova Campina;Nova Campina, São Paulo, Brasil;1201;46;São Paulo;Brasil
3532843;Interior;Nova Canaã Paulista;Nova Canaã Paulista, São Paulo, Brasil;830;10;São Paulo;Brasil
3532868;Interior;Nova Castilho;Nova Castilho, São Paulo, Brasil;323;4;São Paulo;Brasil
3532900;Interior;Nova Europa;Nova Europa, São Paulo, Brasil;875;31;São Paulo;Brasil
3533007;Interior;Nova Granada;Nova Granada, São Paulo, Brasil;6529;89;São Paulo;Brasil
3533106;Interior;Nova Guataporanga;Nova Guataporanga, São Paulo, Brasil;173;5;São Paulo;Brasil
3533205;Interior;Nova Independência;Nova Independência, São Paulo, Brasil;1718;8;São Paulo;Brasil
3533254;Interior;Novais;Novais, São Paulo, Brasil;319;19;São Paulo;Brasil
3533304;Interior;Nova Luzitânia;Nova Luzitânia, São Paulo, Brasil;397;15;São Paulo;Brasil
3533403;Interior;Nova Odessa;Nova Odessa, São Paulo, Brasil;11297;284;São Paulo;Brasil
3533502;Interior;Novo Horizonte;Novo Horizonte, São Paulo, Brasil;6297;244;São Paulo;Brasil
3533601;Interior;Nuporanga;Nuporanga, São Paulo, Brasil;424;15;São Paulo;Brasil
3533700;Interior;Ocauçu;Ocauçu, São Paulo, Brasil;952;9;São Paulo;Brasil
3533809;Interior;Óleo;Óleo, São Paulo, Brasil;162;6;São Paulo;Brasil
3533908;Interior;Olímpia;Olímpia, São Paulo, Brasil;15373;318;São Paulo;Brasil
3534005;Interior;Onda Verde;Onda Verde, São Paulo, Brasil;961;29;São Paulo;Brasil
3534104;Interior;Oriente;Oriente, São Paulo, Brasil;442;29;São Paulo;Brasil
3534203;Interior;Orindiúva;Orindiúva, São Paulo, Brasil;2455;20;São Paulo;Brasil
3534302;Interior;Orlândia;Orlândia, São Paulo, Brasil;8364;132;São Paulo;Brasil
3534401;RMSP (exceto capital);Osasco;Osasco, São Paulo, Brasil;49122;3168;São Paulo;Brasil
3534500;Interior;Oscar Bressane;Oscar Bressane, São Paulo, Brasil;731;10;São Paulo;Brasil
3534609;Interior;Osvaldo Cruz;Osvaldo Cruz, São Paulo, Brasil;10109;142;São Paulo;Brasil
3534708;Interior;Ourinhos;Ourinhos, São Paulo, Brasil;27469;599;São Paulo;Brasil
3534757;Interior;Ouroeste;Ouroeste, São Paulo, Brasil;3058;53;São Paulo;Brasil
3534807;Interior;Ouro Verde;Ouro Verde, São Paulo, Brasil;1148;40;São Paulo;Brasil
3534906;Interior;Pacaembu;Pacaembu, São Paulo, Brasil;3883;57;São Paulo;Brasil
3535002;Interior;Palestina;Palestina, São Paulo, Brasil;2738;52;São Paulo;Brasil
3535101;Interior;Palmares Paulista;Palmares Paulista, São Paulo, Brasil;2275;47;São Paulo;Brasil
3535200;Interior;Palmeira d'Oeste;Palmeira d'Oeste, São Paulo, Brasil;2721;44;São Paulo;Brasil
3535309;Interior;Palmital;Palmital, São Paulo, Brasil;4940;83;São Paulo;Brasil
3535408;Interior;Panorama;Panorama, São Paulo, Brasil;2712;85;São Paulo;Brasil
3535507;Interior;Paraguaçu Paulista;Paraguaçu Paulista, São Paulo, Brasil;10248;177;São Paulo;Brasil
3535606;Interior;Paraibuna;Paraibuna, São Paulo, Brasil;1356;60;São Paulo;Brasil
3535705;Interior;Paraíso;Paraíso, São Paulo, Brasil;1386;31;São Paulo;Brasil
3535804;Interior;Paranapanema;Paranapanema, São Paulo, Brasil;2167;91;São Paulo;Brasil
3535903;Interior;Paranapuã;Paranapuã, São Paulo, Brasil;1355;29;São Paulo;Brasil
3536000;Interior;Parapuã;Parapuã, São Paulo, Brasil;1610;52;São Paulo;Brasil
3536109;Interior;Pardinho;Pardinho, São Paulo, Brasil;1212;19;São Paulo;Brasil
3536208;Interior;Pariquera-Açu;Pariquera-Açu, São Paulo, Brasil;4491;76;São Paulo;Brasil
3536257;Interior;Parisi;Parisi, São Paulo, Brasil;1040;20;São Paulo;Brasil
3536307;Interior;Patrocínio Paulista;Patrocínio Paulista, São Paulo, Brasil;1147;45;São Paulo;Brasil
3536406;Interior;Paulicéia;Paulicéia, São Paulo, Brasil;1919;28;São Paulo;Brasil
3536505;Interior;Paulínia;Paulínia, São Paulo, Brasil;25813;351;São Paulo;Brasil
3536570;Interior;Paulistânia;Paulistânia, São Paulo, Brasil;214;7;São Paulo;Brasil
3536604;Interior;Paulo de Faria;Paulo de Faria, São Paulo, Brasil;1620;45;São Paulo;Brasil
3536703;Interior;Pederneiras;Pederneiras, São Paulo, Brasil;10339;145;São Paulo;Brasil
3536802;Interior;Pedra Bela;Pedra Bela, São Paulo, Brasil;296;11;São Paulo;Brasil
3536901;Interior;Pedranópolis;Pedranópolis, São Paulo, Brasil;281;11;São Paulo;Brasil
3537008;Interior;Pedregulho;Pedregulho, São Paulo, Brasil;392;28;São Paulo;Brasil
3537107;Interior;Pedreira;Pedreira, São Paulo, Brasil;6249;146;São Paulo;Brasil
3537156;Interior;Pedrinhas Paulista;Pedrinhas Paulista, São Paulo, Brasil;781;15;São Paulo;Brasil
3537206;Interior;Pedro de Toledo;Pedro de Toledo, São Paulo, Brasil;1116;25;São Paulo;Brasil
3537305;Interior;Penápolis;Penápolis, São Paulo, Brasil;20567;327;São Paulo;Brasil
3537404;Interior;Pereira Barreto;Pereira Barreto, São Paulo, Brasil;5665;119;São Paulo;Brasil
3537503;Interior;Pereiras;Pereiras, São Paulo, Brasil;1216;23;São Paulo;Brasil
3537602;Interior;Peruíbe;Peruíbe, São Paulo, Brasil;12409;308;São Paulo;Brasil
3537701;Interior;Piacatu;Piacatu, São Paulo, Brasil;1862;11;São Paulo;Brasil
3537800;Interior;Piedade;Piedade, São Paulo, Brasil;9406;193;São Paulo;Brasil
3537909;Interior;Pilar do Sul;Pilar do Sul, São Paulo, Brasil;6770;93;São Paulo;Brasil
3538006;Interior;Pindamonhangaba;Pindamonhangaba, São Paulo, Brasil;38631;598;São Paulo;Brasil
3538105;Interior;Pindorama;Pindorama, São Paulo, Brasil;4023;70;São Paulo;Brasil
3538204;Interior;Pinhalzinho;Pinhalzinho, São Paulo, Brasil;2738;41;São Paulo;Brasil
3538303;Interior;Piquerobi;Piquerobi, São Paulo, Brasil;257;9;São Paulo;Brasil
3538501;Interior;Piquete;Piquete, São Paulo, Brasil;419;35;São Paulo;Brasil
3538600;Interior;Piracaia;Piracaia, São Paulo, Brasil;6107;104;São Paulo;Brasil
3538709;Interior;Piracicaba;Piracicaba, São Paulo, Brasil;106152;1683;São Paulo;Brasil
3538808;Interior;Piraju;Piraju, São Paulo, Brasil;7551;121;São Paulo;Brasil
3538907;Interior;Pirajuí;Pirajuí, São Paulo, Brasil;5103;76;São Paulo;Brasil
3539004;Interior;Pirangi;Pirangi, São Paulo, Brasil;3238;74;São Paulo;Brasil
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;Pirapora do Bom Jesus, São Paulo, Brasil;1678;26;São Paulo;Brasil
3539202;Interior;Pirapozinho;Pirapozinho, São Paulo, Brasil;4367;92;São Paulo;Brasil
3539301;Interior;Pirassununga;Pirassununga, São Paulo, Brasil;20522;317;São Paulo;Brasil
3539400;Interior;Piratininga;Piratininga, São Paulo, Brasil;2294;51;São Paulo;Brasil
3539509;Interior;Pitangueiras;Pitangueiras, São Paulo, Brasil;8482;194;São Paulo;Brasil
3539608;Interior;Planalto;Planalto, São Paulo, Brasil;671;14;São Paulo;Brasil
3539707;Interior;Platina;Platina, São Paulo, Brasil;752;12;São Paulo;Brasil
3539806;RMSP (exceto capital);Poá;Poá, São Paulo, Brasil;12112;444;São Paulo;Brasil
3539905;Interior;Poloni;Poloni, São Paulo, Brasil;1962;24;São Paulo;Brasil
3540002;Interior;Pompéia;Pompéia, São Paulo, Brasil;1052;60;São Paulo;Brasil
3540101;Interior;Pongaí;Pongaí, São Paulo, Brasil;398;12;São Paulo;Brasil
3540200;Interior;Pontal;Pontal, São Paulo, Brasil;8766;187;São Paulo;Brasil
3540259;Interior;Pontalinda;Pontalinda, São Paulo, Brasil;603;20;São Paulo;Brasil
3540309;Interior;Pontes Gestal;Pontes Gestal, São Paulo, Brasil;947;12;São Paulo;Brasil
3540408;Interior;Populina;Populina, São Paulo, Brasil;1564;23;São Paulo;Brasil
3540507;Interior;Porangaba;Porangaba, São Paulo, Brasil;1244;26;São Paulo;Brasil
3540606;Interior;Porto Feliz;Porto Feliz, São Paulo, Brasil;14337;192;São Paulo;Brasil
3540705;Interior;Porto Ferreira;Porto Ferreira, São Paulo, Brasil;17548;219;São Paulo;Brasil
3540754;Interior;Potim;Potim, São Paulo, Brasil;3663;41;São Paulo;Brasil
3540804;Interior;Potirendaba;Potirendaba, São Paulo, Brasil;6064;100;São Paulo;Brasil
3540853;Interior;Pracinha;Pracinha, São Paulo, Brasil;511;6;São Paulo;Brasil
3540903;Interior;Pradópolis;Pradópolis, São Paulo, Brasil;2062;48;São Paulo;Brasil
3541000;Interior;Praia Grande;Praia Grande, São Paulo, Brasil;31985;1383;São Paulo;Brasil
3541059;Interior;Pratânia;Pratânia, São Paulo, Brasil;1560;19;São Paulo;Brasil
3541109;Interior;Presidente Alves;Presidente Alves, São Paulo, Brasil;727;11;São Paulo;Brasil
3541208;Interior;Presidente Bernardes;Presidente Bernardes, São Paulo, Brasil;1418;53;São Paulo;Brasil
3541307;Interior;Presidente Epitácio;Presidente Epitácio, São Paulo, Brasil;6981;151;São Paulo;Brasil
3541406;Interior;Presidente Prudente;Presidente Prudente, São Paulo, Brasil;43286;1090;São Paulo;Brasil
3541505;Interior;Presidente Venceslau;Presidente Venceslau, São Paulo, Brasil;6190;140;São Paulo;Brasil
3541604;Interior;Promissão;Promissão, São Paulo, Brasil;10387;131;São Paulo;Brasil
3541653;Interior;Quadra;Quadra, São Paulo, Brasil;252;9;São Paulo;Brasil
3541703;Interior;Quatá;Quatá, São Paulo, Brasil;2933;32;São Paulo;Brasil
3541802;Interior;Queiroz;Queiroz, São Paulo, Brasil;1061;3;São Paulo;Brasil
3541901;Interior;Queluz;Queluz, São Paulo, Brasil;1097;32;São Paulo;Brasil
3542008;Interior;Quintana;Quintana, São Paulo, Brasil;589;34;São Paulo;Brasil
3542107;Interior;Rafard;Rafard, São Paulo, Brasil;1172;18;São Paulo;Brasil
3542206;Interior;Rancharia;Rancharia, São Paulo, Brasil;7837;120;São Paulo;Brasil
3542305;Interior;Redenção da Serra;Redenção da Serra, São Paulo, Brasil;124;7;São Paulo;Brasil
3542404;Interior;Regente Feijó;Regente Feijó, São Paulo, Brasil;2180;81;São Paulo;Brasil
3542503;Interior;Reginópolis;Reginópolis, São Paulo, Brasil;1000;26;São Paulo;Brasil
3542602;Interior;Registro;Registro, São Paulo, Brasil;13171;256;São Paulo;Brasil
3542701;Interior;Restinga;Restinga, São Paulo, Brasil;731;10;São Paulo;Brasil
3542800;Interior;Ribeira;Ribeira, São Paulo, Brasil;539;9;São Paulo;Brasil
3542909;Interior;Ribeirão Bonito;Ribeirão Bonito, São Paulo, Brasil;1825;34;São Paulo;Brasil
3543006;Interior;Ribeirão Branco;Ribeirão Branco, São Paulo, Brasil;2750;72;São Paulo;Brasil
3543105;Interior;Ribeirão Corrente;Ribeirão Corrente, São Paulo, Brasil;347;6;São Paulo;Brasil
3543204;Interior;Ribeirão do Sul;Ribeirão do Sul, São Paulo, Brasil;722;27;São Paulo;Brasil
3543238;Interior;Ribeirão dos Índios;Ribeirão dos Índios, São Paulo, Brasil;119;8;São Paulo;Brasil
3543253;Interior;Ribeirão Grande;Ribeirão Grande, São Paulo, Brasil;534;30;São Paulo;Brasil
3543303;RMSP (exceto capital);Ribeirão Pires;Ribeirão Pires, São Paulo, Brasil;14030;404;São Paulo;Brasil
3543402;Interior;Ribeirão Preto;Ribeirão Preto, São Paulo, Brasil;106516;3534;São Paulo;Brasil
3543501;Interior;Riversul;Riversul, São Paulo, Brasil;1046;32;São Paulo;Brasil
3543600;Interior;Rifaina;Rifaina, São Paulo, Brasil;1066;13;São Paulo;Brasil
3543709;Interior;Rincão;Rincão, São Paulo, Brasil;2168;50;São Paulo;Brasil
3543808;Interior;Rinópolis;Rinópolis, São Paulo, Brasil;675;21;São Paulo;Brasil
3543907;Interior;Rio Claro;Rio Claro, São Paulo, Brasil;13997;728;São Paulo;Brasil
3544004;Interior;Rio das Pedras;Rio das Pedras, São Paulo, Brasil;3744;121;São Paulo;Brasil
3544103;RMSP (exceto capital);Rio Grande da Serra;Rio Grande da Serra, São Paulo, Brasil;2434;110;São Paulo;Brasil
3544202;Interior;Riolândia;Riolândia, São Paulo, Brasil;3040;34;São Paulo;Brasil
3544251;Interior;Rosana;Rosana, São Paulo, Brasil;5014;56;São Paulo;Brasil
3544301;Interior;Roseira;Roseira, São Paulo, Brasil;1614;33;São Paulo;Brasil
3544400;Interior;Rubiácea;Rubiácea, São Paulo, Brasil;735;11;São Paulo;Brasil
3544509;Interior;Rubinéia;Rubinéia, São Paulo, Brasil;1395;20;São Paulo;Brasil
3544608;Interior;Sabino;Sabino, São Paulo, Brasil;310;32;São Paulo;Brasil
3544707;Interior;Sagres;Sagres, São Paulo, Brasil;267;4;São Paulo;Brasil
3544806;Interior;Sales;Sales, São Paulo, Brasil;1219;48;São Paulo;Brasil
3544905;Interior;Sales Oliveira;Sales Oliveira, São Paulo, Brasil;1862;33;São Paulo;Brasil
3545001;RMSP (exceto capital);Salesópolis;Salesópolis, São Paulo, Brasil;729;64;São Paulo;Brasil
3545100;Interior;Salmourão;Salmourão, São Paulo, Brasil;527;26;São Paulo;Brasil
3545159;Interior;Saltinho;Saltinho, São Paulo, Brasil;2578;26;São Paulo;Brasil
3545209;Interior;Salto;Salto, São Paulo, Brasil;26225;537;São Paulo;Brasil
3545308;Interior;Salto de Pirapora;Salto de Pirapora, São Paulo, Brasil;4476;191;São Paulo;Brasil
3545407;Interior;Salto Grande;Salto Grande, São Paulo, Brasil;2098;19;São Paulo;Brasil
3545506;Interior;Sandovalina;Sandovalina, São Paulo, Brasil;722;16;São Paulo;Brasil
3545605;Interior;Santa Adélia;Santa Adélia, São Paulo, Brasil;2847;71;São Paulo;Brasil
3545704;Interior;Santa Albertina;Santa Albertina, São Paulo, Brasil;2431;29;São Paulo;Brasil
3545803;Interior;Santa Bárbara d'Oeste;Santa Bárbara d'Oeste, São Paulo, Brasil;37948;914;São Paulo;Brasil
3546009;Interior;Santa Branca;Santa Branca, São Paulo, Brasil;2190;37;São Paulo;Brasil
3546108;Interior;Santa Clara d'Oeste;Santa Clara d'Oeste, São Paulo, Brasil;559;26;São Paulo;Brasil
3546207;Interior;Santa Cruz da Conceição;Santa Cruz da Conceição, São Paulo, Brasil;2107;17;São Paulo;Brasil
3546256;Interior;Santa Cruz da Esperança;Santa Cruz da Esperança, São Paulo, Brasil;206;8;São Paulo;Brasil
3546306;Interior;Santa Cruz das Palmeiras;Santa Cruz das Palmeiras, São Paulo, Brasil;5864;140;São Paulo;Brasil
3546405;Interior;Santa Cruz do Rio Pardo;Santa Cruz do Rio Pardo, São Paulo, Brasil;9297;207;São Paulo;Brasil
3546504;Interior;Santa Ernestina;Santa Ernestina, São Paulo, Brasil;559;22;São Paulo;Brasil
3546603;Interior;Santa Fé do Sul;Santa Fé do Sul, São Paulo, Brasil;9781;163;São Paulo;Brasil
3546702;Interior;Santa Gertrudes;Santa Gertrudes, São Paulo, Brasil;3947;88;São Paulo;Brasil
3546801;RMSP (exceto capital);Santa Isabel;Santa Isabel, São Paulo, Brasil;9252;299;São Paulo;Brasil
3546900;Interior;Santa Lúcia;Santa Lúcia, São Paulo, Brasil;800;27;São Paulo;Brasil
3547007;Interior;Santa Maria da Serra;Santa Maria da Serra, São Paulo, Brasil;1363;12;São Paulo;Brasil
3547106;Interior;Santa Mercedes;Santa Mercedes, São Paulo, Brasil;909;11;São Paulo;Brasil
3547205;Interior;Santana da Ponte Pensa;Santa Rita d'Oeste, São Paulo, Brasil;573;6;São Paulo;Brasil
3547304;RMSP (exceto capital);Santana de Parnaíba;Santa Rita do Passa Quatro, São Paulo, Brasil;28042;447;São Paulo;Brasil
3547403;Interior;Santa Rita d'Oeste;Santa Rosa de Viterbo, São Paulo, Brasil;442;15;São Paulo;Brasil
3547502;Interior;Santa Rita do Passa Quatro;Santa Salete, São Paulo, Brasil;1842;49;São Paulo;Brasil
3547601;Interior;Santa Rosa de Viterbo;Santana da Ponte Pensa, São Paulo, Brasil;2515;60;São Paulo;Brasil
3547650;Interior;Santa Salete;Santana de Parnaíba, São Paulo, Brasil;719;9;São Paulo;Brasil
3547700;Interior;Santo Anastácio;Santo Anastácio, São Paulo, Brasil;4037;72;São Paulo;Brasil
3547809;RMSP (exceto capital);Santo André;Santo André, São Paulo, Brasil;99875;3567;São Paulo;Brasil
3547908;Interior;Santo Antônio da Alegria;Santo Antônio da Alegria, São Paulo, Brasil;543;25;São Paulo;Brasil
3548005;Interior;Santo Antônio de Posse;Santo Antônio de Posse, São Paulo, Brasil;4965;73;São Paulo;Brasil
3548054;Interior;Santo Antônio do Aracanguá;Santo Antônio do Aracanguá, São Paulo, Brasil;593;40;São Paulo;Brasil
3548104;Interior;Santo Antônio do Jardim;Santo Antônio do Jardim, São Paulo, Brasil;1419;25;São Paulo;Brasil
3548203;Interior;Santo Antônio do Pinhal;Santo Antônio do Pinhal, São Paulo, Brasil;1577;10;São Paulo;Brasil
3548302;Interior;Santo Expedito;Santo Expedito, São Paulo, Brasil;216;11;São Paulo;Brasil
3548401;Interior;Santópolis do Aguapeí;Santópolis do Aguapeí, São Paulo, Brasil;762;19;São Paulo;Brasil
3548500;Interior;Santos;Santos, São Paulo, Brasil;87022;2660;São Paulo;Brasil
3548609;Interior;São Bento do Sapucaí;São Bento do Sapucaí, São Paulo, Brasil;821;14;São Paulo;Brasil
3548708;RMSP (exceto capital);São Bernardo do Campo;São Bernardo do Campo, São Paulo, Brasil;77711;3868;São Paulo;Brasil
3548807;RMSP (exceto capital);São Caetano do Sul;São Caetano do Sul, São Paulo, Brasil;38611;1184;São Paulo;Brasil
3548906;Interior;São Carlos;São Carlos, São Paulo, Brasil;36770;643;São Paulo;Brasil
3549003;Interior;São Francisco;São Francisco, São Paulo, Brasil;843;21;São Paulo;Brasil
